Field_ID,Region,Latitude,Longitude,Area_wedge,Area_up,mean_elev,range_elev,std_elev,max_slope,min_slope,range_slope,mean_slope,std_slope,mean_aspect,mean_sand,mean_silt,mean_clay,Wetlands,Area_ratio,WTI,Rugg,Alluvium%,Bouldery%,Alluvium_km2,Bouldery_area_km2,Buffer_Area_km2,D_Bedrock,Small_Tribes
TB-01,Neversink,41.90186738,-74.58086374,1.202425665,166.7674634,547.7533991,253.9327393,69.31475287,39.71455765,0.017847039,39.69671061,11.99540308,8.080575843,233.4924841,46.99986152,36.01531548,9.835774387,14.12700916,0.007210193,4.162222535,0.504784933,34.93039933,0,0.420013084,0,1.202428521,25,4
TB-02,Neversink,41.94769073,-74.57144689,1.009935955,81.30833089,594.8563486,238.4852295,50.12571296,45.49873734,0.063569412,45.43516792,13.91174321,6.705906186,226.1413856,42.58360166,40.88030436,10.12782855,0,0.012421064,3.811444141,0.498212993,20.81822084,0,0.21025071,0,1.009936013,1.48,2
TB-03,Neversink,41.93573434,-74.57504842,1.679967542,85.95453264,611.8933425,263.3204651,62.13582011,43.81173706,0.028107423,43.78362964,13.48759954,8.382859888,206.3617168,42.94612755,39.52257754,10.2476056,2.498461887,0.019544839,3.516821606,0.493836634,7.296700963,0,0.122582271,0,1.679968412,3.84,3
TB-04,Neversink,41.94112707,-74.50009195,1.12153523,44.29631686,637.6561706,144.3329468,38.4965355,37.82472992,0.010570466,37.81415945,10.12852314,6.419737504,204.854022,43.72861994,38.55026084,10.51224255,0,0.025318927,4.150350041,0.497832531,15.0318296,31.15784904,0.168587273,0.349446272,1.121535288,1.53,5
TB-05,Neversink,41.93818444,-74.51683922,1.304296128,51.84781971,632.9411589,226.149231,52.15328624,47.1852684,0.064169809,47.12109859,11.89135902,6.064193124,175.7246747,43.45727624,39.24974712,10.17714193,0,0.025156239,4.010942515,0.498715771,10.01996552,40.17879633,0.130690004,0.524050413,1.304295948,1.5,3
TB-06,Neversink,41.93565839,-74.52846989,1.360088776,55.46192111,622.6764822,220.6868896,55.2558918,47.1852684,0.023089927,47.16217848,12.64407898,6.13091416,224.392896,43.30680927,38.92100407,10.12620663,1.389144421,0.024522929,3.724998469,0.498228697,15.34427401,34.23253929,0.208695741,0.465592909,1.36008873,1.5,5
TB-07,Neversink,41.92491035,-74.54029807,0.913906492,59.55362264,591.1370599,199.0518799,47.73082756,38.41687393,0.042220801,38.37465313,12.98094472,7.514039177,217.3646249,46.59047239,36.16395582,9.68976561,0,0.015345943,3.827900928,0.501515262,19.37454257,11.51422688,0.177065209,0.105229271,0.913906527,1.54,2
TB-08,Neversink,41.91957022,-74.56513551,1.048294416,70.02272663,561.5561291,208.1890564,53.98219385,34.65637207,0.030314472,34.6260576,12.09874073,7.782828114,208.2834175,46.7107812,36.19327681,9.791934874,3.859392555,0.014970774,4.682018778,0.501922719,30.05999686,0,0.315117267,0,1.048294412,21.6,2
TB-09,Neversink,41.95287009,-74.55649677,1.22939659,66.48552526,611.3071877,216.9196167,48.89544665,33.20923996,0.102340221,33.10689974,10.88428119,4.928023906,196.7771029,41.60281608,41.58405105,10.52004521,0,0.018491192,4.056545984,0.492943791,16.41181428,0,0.201766282,0,1.229396569,10,3
TB-10,Neversink,41.95940871,-74.43428039,0.856361907,1.877800715,823.020278,182.5021973,32.26567981,32.60624695,0.12758787,32.47865908,10.51688483,5.237670472,244.8702021,46.08080248,39.70891019,10.23398735,0,0.456045149,4.395023849,0.494768824,0,0,0,0,0.856361895,2.51,2
TB-11,Neversink,41.96147295,-74.44697383,0.557886283,2.822501072,746.7478144,194.8839111,32.519107,38.24731064,0.070992857,38.17631778,9.976758208,6.274380626,261.0957643,42.30360089,40.61413303,11.03877118,0,0.197656713,4.303852894,0.512965012,1.604094692,0,0.008949024,0,0.557886268,3.07,2
TB-12,Neversink,41.97165329,-74.52545198,0.399691667,0.968400383,657.924842,180.8527222,50.68995414,27.92271042,0,27.92271042,9.788085865,5.213028973,293.4775433,40.36101757,40.05674597,10.87499626,0,0.4127339,4.511759724,0.507846725,13.16046563,0,0.05260128,0,0.39969163,8,2
TB-13,Neversink,41.95697967,-74.47942561,1.366062995,36.59541394,677.3275503,239.2529297,48.43798542,31.8995285,0.001441873,31.89808663,10.79013839,4.607692855,232.2201768,43.85749556,39.07580336,10.35387272,0,0.037328803,4.40486584,0.500859165,18.14381674,30.11847405,0.247855965,0.411437326,1.366062985,1.58,6
TB-14,Neversink,41.97013032,-74.40722114,0.977724589,1.447500557,932.6850242,303.0706177,69.44885995,42.45389557,2.232607126,40.22128844,21.57018867,5.991038876,207.0029044,48.71284516,40.7633289,9.029423918,0,0.675457142,2.77635892,0.495002009,3.354042351,0,0.032793286,0,0.97772426,2.81,2
TB-15,Neversink,41.95743297,-74.48751151,0.735130781,1.622400639,722.2746533,234.5164185,45.44727656,33.77823257,1.570535302,32.20769727,13.21202424,4.87741033,148.4867897,45.41940575,39.29937853,10.2182777,0,0.453112975,3.628786676,0.51261204,0,40.28127209,0,0.296120073,0.735130887,1.58,2
TB-16,Neversink,41.97031203,-74.51589703,0.904079466,1.689000633,756.269724,231.5495605,50.63422516,36.12314987,0.265976131,35.85717374,12.33968234,6.017652226,272.4034621,44.22750633,40.13134939,9.999500762,0,0.535274794,3.783179954,0.49728559,0.366840823,0,0.003316532,0,0.904079397,6,3
TB-17,Neversink,41.97807884,-74.37952776,0.730068175,0.767000304,981.2307893,239.9897461,49.02463602,37.0651207,0.604732156,36.46038854,13.58392927,5.562558747,193.5736626,47.91826462,40.03413172,9.366748235,0,0.951848613,3.319403261,0.496916232,0.095272332,0,0.000695553,0,0.73006811,5.52,1
TB-18,Neversink,41.97900581,-74.40006612,1.42537647,9.257203532,853.2347696,342.1333008,69.72398526,36.73048019,0.102244481,36.62823571,16.70990324,6.037815162,206.7714669,46.89554977,39.84343284,9.664693356,0,0.153974844,3.305272453,0.49702248,8.189581493,27.29668533,0.116732365,0.389080522,1.425376441,2.49,5
TB-19,Neversink,41.97412065,-74.52268603,1.512753136,54.67322076,637.2675173,181.958374,44.22939709,47.00907135,0.000349706,47.00872164,10.78447949,6.914558866,196.7909522,42.98889954,39.88299058,10.41006051,4.01041891,0.027668996,3.977918695,0.500031765,22.35715056,9.519034255,0.338208524,0.143999501,1.51275326,8,4
TB-20,Neversink,41.96229672,-74.54009321,0.974534771,59.27142249,619.2704842,209.0936279,43.45317874,38.82670593,0.002021234,38.8246847,10.77923745,6.139664529,184.5484959,40.9979062,41.27224543,10.81701265,0,0.016441899,4.430175719,0.494334707,23.52148827,0,0.229225075,0,0.974534742,22.8,4
TB-21,Neversink,41.96976775,-74.44287568,1.221862593,22.92680874,727.2297758,226.2139893,43.09814065,33.11995697,0.017225001,33.10273197,10.90735803,4.90140869,223.9389655,44.66173839,38.90669666,10.39814694,0,0.053294054,3.858515171,0.510992639,13.55519063,27.55755227,0.165625803,0.336715422,1.22186259,4.29,4
TB-22,Neversink,41.96326156,-74.45588887,0.998710211,27.94411064,699.6509712,209.4929199,43.65697598,38.24731064,0.001227088,38.24608355,10.0334633,5.428702515,216.0635389,42.84498944,39.77328244,10.4522487,0,0.03573956,4.428583318,0.502459824,17.52325779,3.202058788,0.175006562,0.031979288,0.998710195,1.465,3
TB-23,Neversink,41.97275685,-74.50378648,0.233800085,0.233800084,825.1828557,161.1327515,40.1180441,30.29460526,0.844854653,29.4497506,10.93801286,5.889583551,225.3379453,45.18305931,37.89336262,9.932530212,0,1.000000004,3.938605536,0.508729409,0,0,0,0,0.233800036,1,1
TB-24,Neversink,41.969364,-74.46806582,0.771002474,0.917300347,826.5696847,223.7529907,50.82950505,35.08686066,2.209005594,32.87785506,14.07819941,5.816799475,151.1113073,47.48571029,38.62165842,9.595803992,0,0.840512572,3.629651987,0.506866418,0,0,0,0,0.771002616,1,2
TB-25,Neversink,41.97347962,-74.45231095,0.824021264,1.182500443,802.240024,230.7157593,50.64093343,41.13792038,1.434517741,39.70340264,14.48851695,5.402376168,171.1271211,47.23805087,38.76367632,9.746605873,0,0.696846474,3.633439613,0.502579503,0,1.344902323,0,0.011082282,0.824021335,1,1
TB-26,Neversink,41.96578747,-74.45671791,0.881156872,2.554200988,697.5402523,185.1925659,41.65245612,27.50380707,0.025996683,27.47781038,8.803911765,4.521621973,157.6934121,42.09540464,39.24155471,11.18248804,0,0.344983373,4.332842998,0.505408481,9.399041281,54.64308575,0.082820299,0.481491309,0.88115688,1.465,3
TB-27,Neversink,41.98036371,-74.51350236,0.743177036,42.83771626,678.3200786,216.9592285,58.94306471,36.81716919,0.093857564,36.72331163,12.92133998,5.335905634,300.3573443,44.14299239,38.99021504,9.876335303,0.808603982,0.017348661,3.491675704,0.511202966,12.3545176,0,0.09181594,0,0.743177057,11.76,2
TB-28,Neversink,41.97328313,-74.55137397,0.522886072,1.205800464,741.7271596,118.9952393,22.79208047,31.3067894,0.290417314,31.01637208,7.338573344,3.555312279,133.1371011,43.4234673,39.77589948,10.75648874,0,0.433642288,4.890755307,0.493531673,0,0,0,0,0.522886278,2.64,2
TB-29,Neversink,41.96643707,-74.54939667,1.001540887,3.305601285,695.889635,161.2721558,31.4228837,33.36698914,0.320480376,33.04650876,9.69423948,5.191769938,140.7560614,41.47031216,42.75033329,10.7475559,0,0.302982968,4.336348386,0.495168775,4.05199817,0,0.040582423,0,1.001541003,2.61,5
TB-30,Neversink,41.98742482,-74.50156668,0.548671275,17.04150646,644.2979776,112.8875122,23.32195096,36.87722778,0.301846921,36.57538086,9.863113092,5.656411029,181.4490689,41.99354158,40.59121704,10.61101847,0,0.032196172,4.732583118,0.491315219,32.00729808,21.8503869,0.175614936,0.119886855,0.548671544,3.92,1
TB-31,Neversink,41.99004401,-74.40832132,0.881129194,1.835700719,972.2738827,284.5810547,69.32163906,43.00460434,0.823220909,42.18138343,22.16119094,6.98662153,207.8390194,48.87479551,38.06100532,9.046827745,0,0.479996104,2.663845678,0.500676226,5.004483506,20.58127454,0.044095966,0.181347621,0.881129207,2.77,0
TB-32,Neversink,41.98078816,-74.42619735,1.16317737,4.540701738,814.5870893,231.0397949,50.62280243,44.6051178,0.133215189,44.47190261,14.75740512,6.935745283,181.2357483,46.01856539,40.66017274,9.716476335,0,0.256166874,3.635544981,0.49916432,3.078038226,50.16516506,0.035803046,0.583509877,1.163177428,5.52,3
TB-33,Neversink,41.99380719,-74.55831031,0.978307397,1.755200692,845.4624941,226.9195557,48.96786996,30.56849861,0.241091177,30.32740743,11.03795972,4.899374685,215.8849061,46.94115746,37.37226673,9.813950698,0,0.557376374,3.939604138,0.503833966,0,17.62903859,0,0.172466206,0.978307496,1,0
TB-34,Neversink,41.97794827,-74.56487929,1.003320469,6.240402357,722.5814427,160.6099243,38.42059992,31.64868546,0.058296099,31.59038936,11.53758451,5.462838884,187.0179764,43.72400777,40.63198136,10.24628563,0,0.16077817,3.735473864,0.499142127,5.299253213,0,0.053168509,0,1.003320788,4.16,1
TB-35,Neversink,41.96188534,-74.5675202,1.306583551,11.18860424,660.1110875,197.5787354,39.55296991,40.89888763,0.292868972,40.60601866,12.50777573,6.777897645,172.105192,42.09941772,41.5974115,10.37412367,0,0.116778065,3.573605263,0.498553197,4.562400796,0,0.059611591,0,1.306583835,3.73,3
TB-36,Neversink,42.00694505,-74.39602004,0.555621342,0.557900178,1125.732105,259.6522217,53.66296887,33.29297638,1.11009407,32.18288231,16.41335157,4.869767105,249.7104034,49.73806233,39.4691918,9.06433298,0,0.995915334,2.822457457,0.500292978,0.019452135,0,0.00010808,0,0.555620958,1,0
TB-37,Neversink,42.00318202,-74.43488316,1.582928824,7.787602947,819.1469883,275.9069214,73.35042517,37.27353287,0.156518161,37.11701471,15.18520433,7.493783324,208.7557329,47.0227003,41.40718782,9.400175898,0,0.203262652,3.667500472,0.495823742,15.31666699,7.618263368,0.24245193,0.120591684,1.582928783,17.85,7
TB-38,Neversink,42.00044851,-74.45445427,1.244207711,11.66640442,746.935645,265.6053467,55.68371101,35.77634811,0.036103666,35.74024445,13.16065587,6.197016445,199.3076871,43.80154162,41.59811442,10.1263576,0.624792406,0.106648772,3.796176552,0.499679437,10.64876677,26.86647136,0.132492768,0.334274685,1.244207626,13.08,4
TB-39,Neversink,41.99212431,-74.47190814,1.671224088,19.05910724,725.7207345,288.0629272,64.7812463,38.21279144,0.029806381,38.18298506,13.42858473,6.657829017,197.7579076,44.53950751,41.64471767,9.916384398,0,0.087686378,3.719941314,0.492517052,18.35272044,13.97620885,0.306715079,0.233573765,1.671224057,14.06,6
TB-40,Neversink,41.98984658,-74.49419882,0.921119674,22.48610855,667.3341921,188.0415039,39.97275114,32.24191284,0.016754081,32.22515876,11.50238369,5.892434615,215.2277474,42.17209629,41.24561632,10.5954925,0,0.040963943,4.033970615,0.502658205,9.188099546,38.17241847,0.084633392,0.351613653,0.921119664,2.86,2
TB-41,Neversink,42.00850778,-74.53239149,0.711326864,1.090000431,945.0935896,221.2058105,46.27659615,48.00576782,0.288179159,47.71758866,16.1386797,6.893106461,202.6864451,48.37200839,37.87765351,9.253296852,0,0.652593195,3.094101177,0.500051137,1.456695527,7.078641653,0.010361884,0.050352365,0.711328065,2.75,0
TB-42,Neversink,41.99348448,-74.53359381,1.298870473,4.047901536,817.3140693,272.9707642,57.08973372,35.87583923,0.310290307,35.56554893,13.62797803,5.053274969,131.9133194,46.75861652,39.08608495,9.666948223,0,0.320875017,3.469546185,0.499734834,3.177195122,15.54283291,0.041267652,0.201881279,1.29887055,26.86,1
TB-43,Neversink,41.97939999,-74.52352975,0.906590757,6.973702646,700.0122089,217.4934082,45.01055095,47.00907135,0.272654027,46.73641732,11.9526552,5.976893401,121.9357412,44.09709437,42.3146636,10.09198707,0,0.13000135,3.43312738,0.510025356,3.387909466,20.61205029,0.030714486,0.186867013,0.9065911,1,1
TB-44,Neversink,42.01087311,-74.50894801,1.236509571,3.516801329,853.6493437,290.2942505,66.1600464,47.93386459,0.295108199,47.63875639,17.15652561,7.71456035,169.3662821,47.30876676,39.78639686,9.493373594,0,0.351600632,3.13066325,0.499988169,0.078595296,24.20739199,0.000971839,0.299326806,1.236509932,2.13,1
TB-45,Neversink,41.99847128,-74.50721499,1.085964102,6.438502424,754.2653136,240.2791138,49.63344669,35.86076736,0.630298197,35.23046917,13.61408087,5.620270709,144.9079902,44.5810283,40.87493767,10.14469489,0,0.168667188,3.524271603,0.490593561,2.315100242,8.492054518,0.025141164,0.092220687,1.085964378,1,2
TB-46,Neversink,42.02055193,-74.48321036,0.880136603,1.522700603,893.1432157,293.7972412,68.43916395,40.12970352,0.425970912,39.70373261,18.96094236,7.021951953,195.1161225,48.58553079,37.88329453,9.297827355,0,0.578010281,2.909277502,0.496006032,0,0,0,0,0.880136698,1,0
TB-47,Neversink,42.00464354,-74.48732049,1.256401809,7.535602875,783.6276143,284.6556396,60.84713901,33.89082718,0.393187553,33.49763963,13.79328062,5.363328035,211.8981242,46.87640551,38.29478759,9.780408412,0,0.166728771,3.205935936,0.500962195,4.123826591,19.78042525,0.051811835,0.248521637,1.25640189,6,4
TB-48,Neversink,41.9722542,-74.5040684,0.386400143,0.386400141,837.598357,160.2088013,39.39629572,30.79356956,1.274690866,29.5188787,12.46443014,5.987924698,284.964605,46.40423714,38.19548044,9.55676437,0,1.000000005,3.920469211,0.500637785,0,0,0,0,0.386400276,1,0
TB-49,Neversink,41.97430297,-74.43122669,1.583219232,20.85480796,746.8796348,232.0081787,44.96617065,35.81255341,0.034045264,35.77850814,10.40373475,4.98461873,190.5073108,44.93180911,39.3578504,10.25309117,0,0.07591627,4.035800326,0.50254885,15.4542427,43.94238827,0.244674534,0.695704318,1.583219177,10.52,5
TB-50,Neversink,41.97440834,-74.41996953,1.264344731,13.98370531,771.5729797,251.1535034,48.91588331,43.18389511,0.043064937,43.14083017,12.65777742,6.584285613,213.1699937,45.34903537,41.52911844,9.898093628,0,0.090415573,3.932548908,0.495091246,19.05409537,28.41947707,0.240909418,0.359320111,1.264344556,4.44,5
TB-51,Neversink,41.8824404,-74.59724431,1.019131965,176.6767672,506.4812392,149.0535583,40.41097846,41.64508438,0.001279685,41.6438047,10.01094757,8.059074407,175.5794569,47.80693001,34.81518061,9.885677462,4.159973115,0.005768342,4.463274997,0.508363794,0,3.064346032,0,0.031229736,1.019132169,16.29,4
